Path;Type;Description;Identifiant de la donnee;Libelle anglophone;Definition
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'un plan d'éco-conception de service numérique sur la phase de maintenance;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'un plan d'éco-conception de service numérique  par phase du cycle de vie du produit . Ici, l'indicateur est mesuré sur la phase de maintenance (Planifier la gestion du service au cours de sa vie, proposer un support technique sur une longue durée, séparer les mises à jour évolutives et correctives)
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Pour le secteur ""Numérique Software"", il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";662185f8-966f-4055-a88f-e1920e1d828d;Maintenace Eco-conception Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'un plan d'éco-conception de service numérique sur la phase de production;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'un plan d'éco-conception de service numérique par phase du cycle de vie du produit. Ici, l'indicateur est mesuré sur la phase de production (Définir une politique d'expiration et de suppression des données, alléger au maximum les médias (vidéos, images, contenus...))
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Pour le secteur ""Numérique Software"", il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";2a29ae30-895a-4634-ae78-374b1207f322;Production Eco-conception Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'un plan d'éco-conception de service numérique sur la phase de réalisation;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'un plan d'éco-conception de service numérique  par phase du cycle de vie du produit. Ici, l'indicateur est mesuré sur la phase de réalisation (Assurer la compatibilité avec les anciens appareils et logiciels, minimiser le nombre de requêtes, monitorer son impact au cours du développement avec des outils de mesure)
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Pour le secteur ""Numérique Software"", il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";69fc729b-ea74-401e-a840-5ef77868c713;Implementation Eco-conception Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'un plan d'éco-conception de service numérique sur la phase de spécification;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'un plan d'éco-conception de service numérique  par phase du cycle de vie du produit. Ici, l'indicateur est mesuré sur la phase de spécification qui correspond à la quantification précise du besoin et la sélection des fonctionnalités essentielles.
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Pour le secteur ""Numérique Software"", il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";6150ec12-ccf8-4cbf-9790-2fcd105fa39c;Specification Eco-conception Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'un plan de conception de produits évolutifs;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'un plan de conception de produits évolutifs, aptes aux mises à jour et au reconditionnement, et maximisant les usages et usagers possibles
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";8680fbe5-0938-4d7e-bd8b-8a2a2709b1c8;Implementation Level of Plan Design for Scalable Product;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'un plan de maintenance et mise à jour logiciel du produit;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'un plan de maintenance et mise à jour du logiciel d'exploitation du produit afin de faire durer celui-ci le plus longtemps possible
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";77ca5df9-cb15-48e3-8d8c-4220278ae4fb;Implementation Level of Maintenance Plan & Software Update;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'un plan de réparibilité lors de la conception;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'un plan réparabilité lors de la conception: démontabilité, pièces et composants standardisé
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";a91a3f5b-f257-419d-806a-6b31bb098129;Reparability plan Implementation Level At Design Stage;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'un plan de réparibilité pendant la durée de vie produit;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'un plan de réparabilité pendant toute la durée de vie du produit: accès aux informations et aux pièces détachées, mise en place d'un service après-vente de maintenance
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";0cafcef9-a963-469b-bfcc-cdde7b110b6c;Reparability Plan Implementation Level During The Product LifeCycle;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'un système de gratification basée sur la performance éco-conduite;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d'un système de gratification basée sur la performance éco-conduite de l'entreprise des transports routiers (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);9653dcdb-630d-430c-936f-e414e107e062;Reward system based on eco-driving performance implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'un système de management de la performance éco-conduite;\Univers\Univers\Univers\Concept\Terme métier;Niveau de système de management de la performance éco-conduite de l'entreprise du secteur des transports routiers (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);9da6347d-05ec-4c1d-95b9-135b4832f92d;Eco-driving performance  management system implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'une analyse de cycle de vie des produits fabriqués;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d'une analyse de cycle de vie des produits fabriqués de l'entreprise du secteur de la construction automobile et des composants automobiles (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);15fb47da-9f18-45a6-8912-81935af0aa56;Life cycle analysis of manufactured products implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'une charte d'achats responsables;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d'une charte d'achats responsables (ex. prise en compte de critères environnementaux dans la sélection des fournisseurs) de l'entreprise du secteur de l'industrie alimentaire (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);0f4db283-1fbe-4e44-96f5-0c2cd9881852;Responsible purchasing charter implementation level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'une hiérarchisation des besoins utilisateurs;\Univers\Univers\Univers\Concept\Terme métier;"Niveau de mise en place d'une évaluation précise et hiérarchisation des besoins réels des utilisateurs afin d'identifier les technologies minimales à la satisfaction du besoin
Cette donnée est collectée via un questionnaire transmis au Tiers au titre de l'IMC (Indice de Maturité Climatique).
Il est mesuré de la manière suivante en fonction de la taille d'entreprise :  
Pour les PME, l'échelle suivante est utilisée : 
0 : Jamais (0%) / 1: Ponctuellement (Moins de 50%) / 2 : Fréquemment (Plus de 50%) / 3: Systématiquement (100%) / 4 : Non-concerné 
Pour les Start-up, l'échelle suivante est utilisée : 
0: Pas encore et non-prévu d'ici 1 an / 1: Pas encore et prévu d'ici 1 an / 2: Ponctuellement / 3: Frequemment / 4: Systématiquement / 5: Non-concerné";bc2d6eaf-c207-4a62-ad4d-50654031648e;User Needs Hierarchisation implementation Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'une initiative de remise en état et réemploi des équipements numériques;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d'une initiative de remise en état et réemploi des équipements numériques. Pour le secteur du Numérique Software, cette donnée est renseignée selon l'échelle suivante (0: Pas de solution / 1: Solution qui améliore les pratiques existantes / 2: Solution en rutpture avec les pratiques existantes / 3: Non-concerné);2a9e8b59-72ad-4ff4-8d63-2178e283e75f;Equipment Recycling Solution Level;
\Modèle Objets Métier - MOM\Tiers\Informations extra-financières\Indicateurs de gouvernance\Niveau de mise en place d'une meilleure gestion des déchets industriels;\Univers\Univers\Univers\Concept\Terme métier;Niveau de mise en place d'une meilleure gestion des déchets industriels : partenariat de recyclage et / ou de réutilisation de l'entreprise du secteur de la construction automobile et des composants automobiles et des produits électriques et plastiques et du métal/des matériaux (0 : Non concerné, 1 : Jamais, 2 : Ponctuellement, 3 : Fréquemment, 4 : Systématiquement);9d2e34f4-b62d-4512-bca6-5938b7845428;Better management of industrial waste implementation level;
